TransactionTime;Amount;Description;TransactionId
2024-09-05 07:53:23;1122.09;Bakery;TXN000001
2024-04-16 19:27:32;2456.22;Electricity Bill;TXN000002
2024-10-13 00:24:33;1033.82;Bakery;TXN000003
2024-12-12 11:42:58;5457.67;Hardware Store;TXN000004
2024-06-12 20:35:47;327.48;ATM Withdrawal;TXN000005
2024-03-25 21:51:13;2334.05;Garden Centre;TXN000006
2024-01-11 07:19:59;5616.28;Fast Food;TXN000007
2024-09-09 09:21:43;7015.54;School Fees;TXN000008
2024-03-26 14:39:19;4497.15;Pharmacy;TXN000009
2024-11-10 08:26:19;8693.44;Butcher;TXN000010
2024-11-08 22:46:47;1604.84;School Fees;TXN000011
2024-05-12 03:21:52;2785.66;Restaurant;TXN000012
2024-10-23 12:16:51;3372.24;ATM Withdrawal;TXN000013
2024-05-27 13:10:44;976.10;Bank Charges;TXN000014
2024-05-13 13:53:58;6040.62;Supermarket;TXN000015
2024-01-17 20:59:14;7299.29;Bookstore;TXN000016
2024-02-18 11:27:50;9730.45;Medical Aid;TXN000017
2024-01-31 14:28:15;5524.33;Department Store;TXN000018
2024-09-01 03:20:51;6188.39;Bank Charges;TXN000019
2024-05-20 10:40:57;5777.17;Fast Food;TXN000020
2024-01-28 00:18:03;467.74;Petrol Station;TXN000021
2024-10-27 05:31:09;2900.70;ATM Withdrawal;TXN000022
2024-11-28 04:08:20;2335.35;Salary Deposit;TXN000023
2024-05-27 15:01:59;2786.68;Gym Membership;TXN000024
2024-11-19 22:28:21;3654.31;Rent Payment;TXN000025
2024-05-17 23:21:46;2102.77;Pharmacy;TXN000026
2024-09-29 13:26:21;9366.24;Gym Membership;TXN000027
2024-01-28 17:31:10;6094.61;Water Bill;TXN000028
2024-07-26 10:32:40;7293.25;Water Bill;TXN000029
2024-06-28 12:34:38;3800.38;Gym Membership;TXN000030
2024-09-24 06:08:03;5573.37;Streaming Service;TXN000031
2024-05-05 22:32:02;8429.25;Butcher;TXN000032
2024-01-22 17:22:46;2297.96;Online Purchase;TXN000033
2024-11-08 15:34:14;3161.06;Pharmacy;TXN000034
2024-01-26 16:55:21;2117.51;Hardware Store;TXN000035
2024-12-06 08:20:17;7181.25;Restaurant;TXN000036
2024-09-11 13:07:52;4996.82;Gym Membership;TXN000037
2024-06-27 04:48:33;1437.14;Electricity Bill;TXN000038
2024-04-05 18:44:05;7451.69;Bookstore;TXN000039
2024-04-12 00:55:45;7471.92;School Fees;TXN000040
2024-12-14 16:18:56;5838.91;Rent Payment;TXN000041
2024-03-26 04:13:03;9972.29;Electricity Bill;TXN000042
2024-07-16 21:07:45;4939.73;Butcher;TXN000043
2024-01-19 07:09:23;8611.56;Electricity Bill;TXN000044
2024-08-31 16:13:15;1608.06;Streaming Service;TXN000045
2024-06-12 22:48:57;5967.53;Medical Aid;TXN000046
15/07/2024 09:30:00;5962.33;Internet Bill;TXN000047
2024-07-24 11:42:11;2521.38;Bookstore;TXN000048
2024-11-30 07:02:53;9423.94;Streaming Service;TXN000049
2024-10-06 21:36:51;1154.26;Bookstore;TXN000050
2024-10-18 14:41:18;2675.32;Gym Membership;TXN000051
2024-05-12 02:39:54;1124.29;School Fees;TXN000052
2024-03-02 10:08:13;4542.25;Bakery;TXN000053
2024-12-06 03:32:27;7198.89;Coffee Shop;TXN000054
2024-10-22 22:00:08;1794.55;Salary Deposit;TXN000055
2024-12-04 01:49:16;6256.12;Department Store;TXN000056
2024-09-05 03:26:27;5081.04;Restaurant;TXN000057
2024-02-29 08:33:54;3745.03;Water Bill;TXN000058
2024-07-28 11:22:36;9534.51;Coffee Shop;TXN000059
2024-12-22 16:58:47;15.71;Insurance Premium;TXN000060
2024-07-08 18:08:07;204.55;Rent Payment;TXN000061
2024-12-07 06:16:53;9852.38;Supermarket;TXN000062
2024-04-29 10:14:21;2401.89;Petrol Station;TXN000063
2024-12-06 23:38:33;5677.33;ATM Withdrawal;TXN000064
2024-02-03 06:20:52;7321.02;Department Store;TXN000065
2024-01-27 21:06:26;9779.09;Bookstore;TXN000066
2024-10-24 10:05:39;1266.22;Streaming Service;TXN000067
2024-07-03 13:57:10;9468.07;Water Bill;TXN000068
2024-04-12 22:30:24;5280.93;Garden Centre;TXN000069
2024-06-13 07:55:53;9643.02;Bookstore;TXN000070
2024-10-20 07:34:54;7301.28;Restaurant;TXN000071
2024-10-03 21:09:57;3123.73;Streaming Service;TXN000072
2024-09-09 09:18:09;3740.10;Coffee Shop;TXN000073
2024-06-24 08:09:21;1218.71;Petrol Station;TXN000074
2024-01-25 20:45:52;3387.14;Hardware Store;TXN000075
2024-08-03 02:55:22;2308.62;Petrol Station;TXN000076
2024-01-03 19:01:24;719.15;Gym Membership;TXN000077
2024-01-23 20:44:35;2296.90;Online Purchase;TXN000078
2024-11-29 20:22:57;3310.65;Coffee Shop;TXN000079
2024-04-02 10:21:50;2791.71;Cell Phone Contract;TXN000080
2024-03-24 04:49:54;5396.41;Bakery;TXN000081
2024-12-29 07:37:28;8824.12;Hardware Store;TXN000082
2024-07-02 13:36:47;2437.30;Cell Phone Contract;TXN000083
2024-11-09 14:25:03;4076.12;Salary Deposit;TXN000084
2024-02-07 15:27:38;6592.58;Rent Payment;TXN000085
2024-06-13 12:02:20;4116.50;Bank Charges;TXN000086
2024-10-10 03:28:46;551.12;Gym Membership;TXN000087
2024-09-07 22:49:54;993.10;Medical Aid;TXN000088
2024-10-09 19:26:33;3399.29;Bank Charges;TXN000089
2024-02-12 10:27:40;2493.83;Restaurant;TXN000090
2024-07-27 06:32:43;4491.20;School Fees;TXN000091
2024-03-12 06:13:56;2792.39;Petrol Station;TXN000092
2024-12-05 14:47:59;9232.50;Internet Bill;TXN000093
2024-11-09 19:18:47;8614.02;Bookstore;TXN000094
2024-02-08 00:34:31;515.33;Bookstore;TXN000095
2024-11-20 16:20:30;157.42;ATM Withdrawal;TXN000096
2024-12-25 18:21:57;7537.37;Petrol Station;TXN000097
2024-03-05 14:07:54;4069.67;Cell Phone Contract;TXN000098
2024-03-24 00:16:09;8646.99;Online Purchase;TXN000099
2024-03-04 22:31:45;3795.56;Medical Aid;TXN000100
2024-04-12 23:52:17;9264.99;Supermarket;TXN000101
2024-06-25 16:59:07;2859.35;Fast Food;TXN000102
2024-10-10 16:48:10;9953.28;Bookstore;TXN000103
2024-09-14 01:05:15;7186.18;Electricity Bill;TXN000104
2024-03-14 17:58:35;2973.81;Online Purchase;TXN000105
2024-08-12 22:21:05;7359.28;Online Purchase;TXN000106
2024-10-17 11:38:15;3142.60;Online Purchase;TXN000107
2024-08-14 20:55:47;4772.64;Bank Charges;TXN000108
2024-07-25 06:27:15;1582.60;Coffee Shop;TXN000109
2024-02-01 02:41:34;8514.06;ATM Withdrawal;TXN000110
2024-08-19 02:07:45;688.86;Bank Charges;TXN000111
2024-04-01 08:15:33;4043.31;Hardware Store;TXN000112
2024-04-05 14:53:36;5792.82;Online Purchase;TXN000113
2024-08-28 13:03:14;828.93;Streaming Service;TXN000114
2024-08-14 16:13:12;5656.05;Insurance Premium;TXN000115
2024-12-29 00:05:37;2614.79;Streaming Service;TXN000116
2024-10-05 03:23:29;3148.38;Pharmacy;TXN000117
2024-06-02 16:59:29;1317.34;Gym Membership;TXN000118
2024-04-26 12:10:31;4577.22;Butcher;TXN000119
2024-12-29 09:40:32;734.63;Internet Bill;TXN000120
2024-08-29 05:37:25;9983.56;Salary Deposit;TXN000121
2024-01-29 10:50:21;5380.43;Coffee Shop;TXN000122
2024-04-12 23:50:49;450;Rent Payment;TXN000123
2024-12-08 02:14:57;697.16;Petrol Station;TXN000124
2024-05-23 12:14:31;2856.74;Internet Bill;TXN000125
2024-11-19 19:03:58;5436.20;Clothing Store;TXN000126
2024-08-25 13:14:59;9837.71;Supermarket;TXN000127
2024-09-10 23:30:03;5293.59;Streaming Service;TXN000128
2024-11-13 07:57:45;5549.92;Streaming Service;TXN000129
2024-02-10 05:29:46;9388.97;Electricity Bill;TXN000130
2024-04-12 17:00:03;1163.02;Salary Deposit;TXN000131
2024-10-15 07:49:30;5536.15;Pharmacy;TXN000132
2024-04-19 10:09:31;6051.65;Fast Food;TXN000133
2024-05-13 03:52:33;2043.73;Gym Membership;TXN000134
2024-11-27 05:43:25;2646.94;Cell Phone Contract;TXN000135
2024-04-07 12:37:10;9053.41;Bank Charges;TXN000136
2024-01-20 17:28:48;931.97;School Fees;TXN000137
2024-11-18 02:05:04;2773.76;Grocery Store;TXN000138
2024-05-09 12:58:20;7712.71;Gym Membership;TXN000139
2024-04-11 17:36:00;1624.04;Internet Bill;TXN000140
2024-08-02 06:02:03;7058.91;Bookstore;TXN000141
2024-01-04 18:07:41;1127.51;Fast Food;TXN000142
2024-12-17 01:13:29;1498.90;Online Purchase;TXN000143
2024-11-20 02:59:21;3698.10;Bookstore;TXN000144
2024-02-27 12:20:02;4303.14;Online Purchase;TXN000145
